label,text
drama,"Stella Payne is a very successful 40-year-old stockbroker raising her son, Quincy, and living in Marin County, California, who is persuaded by her best friend from college, Delilah Abraham, to take a well-deserved, first-class vacation to Montego Bay, Jamaica. As she soaks in the beauty of the island, she encounters a handsome young islander, Winston Shakespeare, who is twenty years younger. His pursuit of her turns into a blossoming romance that forces Stella to take personal inventory of her life and try to find a balance between her desire for love and companionship, and her responsibilities as a mother and corporate executive."
comedy,"When he falls into a union action by mistake, Leroy Jones is laid off from his job picking oranges. The only option given to find work to provide for his wife Annie Mae, their kids, and his father Rufus, is to leave them behind and go to Los Angeles, where more jobs are available. While he is away, Leroy becomes smitten with Vanetta, a beautiful labor activist. When he returns home, he has to juggle his wife, his new romance with Vanetta and his new job. Meanwhile, the Rev. Lennox Thomas takes advantage of Leroy's absence to cavort with Annie Mae, leading Leroy to take revenge with the reverend's wife."
comedy,"Bill Ward wants to marry wealthy Angela Forbes and goes to the pier to meet her parents' cruise ship when it arrives. Bill's sister Dulcy goes along, but rather than greet the Forbeses, she becomes distracted by arriving passenger Gordon Daly.
Dulcy has a habit of doing the wrong thing. When she learns that Gordon has invented a new airplane motor and needs to raise capital, she invites him to meet Roger Forbes, father of her brother's fiancée. Then she makes a mistake during Gordon's presentation that causes the motor to spit oil in Mr. Forbes's face. He leaves in a huff.
Bill and Angela decide to elope. Dulcy introduces them to a man she's just met, Schuyler Van Dyke, who offers to fund Gordon's enterprise. All is well until Dulcy learns that Van Dyke is actually a man named Patterson who suffers from delusions of grandeur. Luckily for all, Roger Forbes returns and outbids Van Dyke for the invention, making Dulcy an accidental hero."
drama,"Michael J. ""Jay"" Cochran is a retiring United States Naval Aviator who, after 12 years in the service, wants to relax and live one day at a time. He goes to Mexico, accepting a matched pair of Beretta shotguns and an invitation from his wealthy friend Tiburon ""Tibey"" Mendez to spend time at his hacienda in Mexico. Tibey is a powerful crime boss, constantly surrounded by bodyguards.
While trying to find the hacienda, Cochran meets a beautiful young woman riding a horse. She is Tibey's wife, Miryea, who lives in lavish surroundings but is unhappy because her much-older husband does not want children, feeling pregnancy would spoil her looks.
Jay is a welcome guest and presents his friend with a Navy G-1 leather flight jacket. But he rubs Tibey's suspicious right-hand man Cesar the wrong way by behaving independently and not acting like an employee. After a dinner Tibey conducts a private meeting with business associates while Miryea gets acquainted with Jay. She becomes attracted to him. The next day they share a private walk on the beach.
During a party, with Tibey and his men nearby, Jay and Miryea secretly have sex. Tension grows, as Jay is worried that Tibey will become aware of the situation. Miryea begs Jay not to leave. They arrange a secret rendezvous, Miryea pretending that she will be visiting a friend in Miami when she actually is going to accompany Jay to a remote cabin.
Cesar overhears a conversation in which Miryea asks her Miami friend to lie for her. Tibey visits Jay and invites him on a trip to the Beretta factory to custom-fit his new guns, but Jay declines. Tibey tells his friend goodbye. At the airport, Tibey also gives Miryea one last kiss. Jay is secretly waiting to drive her to the cabin.
At their hideaway, they are surprised by Tibey and his men. Jay's beloved dog is shot dead. Calling Miryea a ""faithless whore"", Tibey strikes her and cuts her across the mouth with a knife, as Tibey's henchmen viciously beat and kick Jay. After setting fire to the cabin, they dump Jay in the desert, and leave him to die.
Miryea is placed in a whorehouse, where she is drugged, abused, and relegated to ""common use"". The young man responsible for keeping her drugged has AIDS. As Miryea no longer wishes to live the life of a common prostitute, she persuades him to share a needle with her, thus infecting her.
Jay's unconscious body is discovered by a Mexican Good Samaritan, who slowly nurses him back to health. He returns to the burnt cabin and retrieves some money he had stashed away. His rescuer drives Jay to town and gives him a knife to ""cut the balls off your enemy"". He encounters a Texan delivering a horse, who offers Jay a ride in his car. Inside a cantina, Jay notices one of the thugs who had thrashed him; he follows him into the men's room and cuts his throat.
After a day on the road, the Texan, clearly ill, trades his horse to a wealthy man, who recognizes Jay from an afternoon at Tibey's estate. The friendly Texan dies in his car, apparently of tuberculosis.
At a motel, Jay runs across Amador, the brother-in-law of the Mexican Good Samaritan who had saved his life. Amador and his quiet friend, Ignacio, have their own issues with Tibey Mendez and are willing to help. They capture another of Tibey's henchmen, who tells them where Miryea can be found. Jay barges into the brothel to rescue her, only to find that she has been moved. No one but Tibey knows where she is.
Jay, Amador, and Ignacio ambush Tibey and his bodyguard on a trail. Jay is here for revenge, but first Tibey requests that Jay ask forgiveness for having stolen his wife.
Miryea is in a convent hospice, dying of AIDS. Jay arrives in time to tell Miryea that he loves her. He then carries her outside, Miryea then tells Jay that she loves him; moments before she dies in his arms."
comedy,Kalarickal Achuthankutty (Suresh Gopi) and his brother-in-law Pattarumadom Najeeb (Mukesh) run rival
drama,"Following the death of his wife, Arthur Pratt (Philip Baker Hall) is on the verge of taking his own life. However, just after he had finished burying his wife’s ashes at the park, a duckling crosses his path. Noticing that the duckling is all alone, Arthur decides to help it find its flock. Unfortunately, they end up finding the flock as roadkill. As a result, Arthur then chooses to take the surviving duckling back to his apartment, where he bathes and feeds it. No longer on the verge, Arthur is committed to raise and take care of the duckling, which he names “Joe.”
After being behind on rent, Arthur gets evicted from his apartment. Since the retirement homes refuse to allow any pets on their premises, Arthur and Joe return to the park, where the latter becomes a full-grown duck. There, Arthur picks up the litter he finds on the ground and offers it to a garbage collector (Noel Gugliemi), who informs him that the park is a part-landfill and part-construction site for a shopping mall.
Meanwhile, workers from a septic and sewage service arrive to drain a pond where Joe is paddling on. They try to shoo Joe away, but Joe has trouble commencing as he had never learned how to fly like any other ordinary duck. The workers then start throwing objects at Joe, which causes Arthur to come to his rescue. Following a quarrel with the workers, the fire department, members of the Psychological Evaluation Team, Animal Control and finally the police, Arthur and Joe leave the park for good and set out for a new journey.
During their journey, Arthur and Joe cross paths with other random people throughout Los Angeles such as: Norman (Bill Cobbs), a blind man on his way to the beach, accompanied by his guide dog Trisha; Leopold (Bill Brochtrup), a homeless man whom Arthur gives a pair of socks to; a third man (French Stewart) who, like Arthur, is also on the verge of suicide but simply because he knows his girlfriend is having an affair with his best friend; and a Vietnamese-American pedicurist (Amy Hill) who openly confesses to Arthur that her husband was killed in their native country and that she and her daughter moved to America for a better life. One night, the duo is also randomly invited to a Halloween costume party, where Arthur temporarily loses sight of Joe.
The next morning, Joe and Arthur make it to a bridge in which the latter decides it may be best that they part ways. Joe is stubborn at first, so Arthur just walks away. Joe then jumps off the bridge, and quacks in danger upon landing on the creek. Noticing the creek is full of toxic waste, Arthur once again rescues Joe. Arthur apologizes to Joe for abandoning him, telling him ""I'd die without you, Joe.""
Arthur and Joe finally make it to the beach, where the former allows his bare feet to touch the sand. There, they reunite with Norman and Trisha. The film fades to black as the four of them happily continue walking on the beach in horizon."
drama,"At the age of 18, orphaned Peter Henderson leaves school in the middle of the term (after winning a cricket match) to take over the family firm, one of the most important in the City of London, as arranged by his late father. Cartwright, one of the company directors, tries to retain control of the decision-making, but Peter follows his father's explicit instructions to learn about the business.
One day, Peter asks an employee about what occupies a certain city block his firm wants to demolish. (Cartwright and his cronies are secretly trying to enrich themselves.) The man tells him about Charlie's, a dosshouse. Peter and a former schoolmate disguise themselves to look the place over. While they are there, Charlie notifies everyone that the establishment will be closing soon, as it and the neighbouring tenements will be demolished.
Inky, one of the residents, consults lawyer ""Lincoln's Inn"". He has kept away from his beautiful daughter, cabaret performer Sylvia Meadows, because of his forgery and blackmailing past. He thinks he is the reason Sylvia has not married noted cricketer Stuart Gordon; Lincoln agrees to see what he can do. Peter eavesdrops when Charlie consults with Lincoln, and learns that Cartwright is involved in the eviction and is coming to Charlie's tomorrow.
Inky sends a letter to his daughter via Peter, but she does not believe he can keep his word, as he has been unable to do so in the past. When Inky is told, he commits suicide for her sake; he leaves behind a letter which also reveals that he forged the signature of John Henderson on a document which he believes has something to do with the closing of Charlie's. However, Lincoln states they need to get their hands on some of Cartwright's papers as corroboration. They make Tich, a resident of Charlie's, look like a gentleman to use his nimble fingers. They go to Cartwright's suite, where Tich knocks out the butler, then opens the safe. With the information obtained, Peter informs Charlie's residents that his company will rebuild a new and better Charlie's."
drama,"A gang of villains carry out a bank robbery disguised as soldiers, creating a diversion using a fake bomb scare."
comedy,"On a hot summer's day, 13 schoolgirls are bored in a remedial math class. One girl, Tomoko, watches the school's brass band leave to perform at a baseball game, but they have forgotten their bento lunches. Tomoko and the other girls persuade their teacher, Mr Ozawa, to let them deliver the lunches. On the train, Tomoko eats a lunch, and the girls fall asleep and miss their stop. By the time they deliver the lunches to the band, they have spoiled, and all 42 band members become sick. Only the cymbal player, Nakamura, whose lunch Tomoko ate, is unaffected.
The next day, Nakamura holds an audition for band replacements. Knowing it was the girls' fault the band became sick, he threatens to turn them in if they don't audition. The girls have no musical experience and clown around with their instruments. As they are eight members short of a brass band, Nakamura decides to turn the girls into a big band and perform swing jazz.
Nakamura trains the girls hard throughout the week. However, on the day before the game, the recovered brass band members return to school and take over the band. The girls are devastated. Tomoko and three other girls get supermarket jobs to earn money for instruments, but lose their wages when they start a fire. The other girls spend their money on designer clothes and run off with the school baseball team. The remaining girls take jobs picking matsutake mushrooms, but they are attacked by a boar; they manage to kill it and claim reward money, as the boar had been destroying crops.
With the reward money, they buy second-hand instruments and have their ex-boyfriends repair them. The girls play their first show and receive advice from an anonymous jazz fan and amateur saxophone player. Chasing him to his home, they discover it is their math teacher, Mr. Ozawa, and convince him to lead the band. After another public performance, the girls who left are persuaded to rejoin.
The band records an audition tape for a winter music festival. They leave Tomoko in charge of the tape, but she sends it too late and the band is rejected as the bands are selected on a first-come, first-served basis. Tomoko is too embarrassed to tell the others. Later, Nakamura discovers that Mr. Ozawa is not really a professional saxophonist, and Mr. Ozawa leaves the band. On the train to the music festival, Tomoko confesses the band have no place at the festival, and the train is halted by snow. Ms. Itami finds them and rushes them by bus to the festival, where they are allowed to perform as a replacement for another band that could not perform due to the snow. They rush onstage just in time to perform. They gave a 15-minute concert, wowing the crowd."
drama,"The story is set in Dearborn, Michigan, during the 1950s, and revolves around fourteen-year-old Arthur Bartley (Brandon deWilde) and his schoolmates, fifteen-year-old Janet Willard (Carol Lynley) and Ernie (Warren Berlinger). While widower's-daughter Janet laughs at Arthur and Ernie's forays into smoking, drinking, and playing cards, she's always been interested in Arthur, and as Arthur's parents try to shelter him from negative things in life (like the euthanasia of the family dog, done while he's at school), he turns to Janet for comfort.
The relationship between Janet and Arthur results in her becoming pregnant. Unable to ask their parents (who misinterpret their pleas as ""ordinary"" teenage curiosity about sex and adulthood) for help, they turn to Ernie, who'd boasted earlier about ""helping a sailor who got his girl in trouble"" by directing him to an abortionist – only to discover Ernie made it all up, based on secondhand stories. The three seek together to arrange an abortion and raise the funds, only to be discovered by their parents at the last moment. In the meantime, Arthur and Janet find out how much they do not yet know about life – and how much they truly care about each other."
